#     INDEX  input        output
          1 1.215000000 0.000001470
          2 1.205000000 0.000002496
          3 1.195000000 0.000004323
          4 1.185000000 0.000006149
          5 1.175000000 0.000007976
          6 1.165000000 0.000010631
          7 1.155000000 0.000015834
          8 1.145000000 0.000021036
          9 1.135000000 0.000026239
         10 1.125000000 0.000032955
         11 1.115000000 0.000047313
         12 1.105000000 0.000061672
         13 1.095000000 0.000076031
         14 1.085000000 0.000092429
         15 1.075000000 0.000130722
         16 1.065000000 0.000169016
         17 1.055000000 0.000207309
         18 1.045000000 0.000245909
         19 1.035000000 0.000343179
         20 1.025000000 0.000440449
         21 1.015000000 0.000537720
         22 1.005000000 0.000634990
         23 0.995000000 0.000857212
         24 0.985000000 0.001089535
         25 0.975000000 0.001321859
         26 0.965000000 0.001554182
         27 0.955000000 0.002020216
         28 0.945000000 0.002529052
         29 0.935000000 0.003037889
         30 0.925000000 0.003546725
         31 0.915000000 0.004416924
         32 0.905000000 0.005398004
         33 0.895000000 0.006379084
         34 0.885000000 0.007360164
         35 0.875000000 0.008773445
         36 0.865000000 0.010385287
         37 0.855000000 0.011997130
         38 0.845000000 0.013608973
         39 0.835000000 0.015632454
         40 0.825000000 0.017924461
         41 0.815000000 0.020216469
         42 0.805000000 0.022508476
         43 0.795000000 0.025180043
         44 0.785000000 0.028194742
         45 0.775000000 0.031209440
         46 0.765000000 0.034224139
         47 0.755000000 0.037660034
         48 0.745000000 0.041620809
         49 0.735000000 0.045581584
         50 0.725000000 0.049542359
         51 0.715000000 0.054063604
         52 0.705000000 0.059559057
         53 0.695000000 0.065054511
         54 0.685000000 0.070549964
         55 0.675000000 0.076878362
         56 0.665000000 0.085294340
         57 0.655000000 0.093710318
         58 0.645000000 0.102126296
         59 0.635000000 0.112034305
         60 0.625000000 0.127721256
         61 0.615000000 0.143408208
         62 0.605000000 0.159095159
         63 0.595000000 0.177408880
         64 0.585000000 0.214075797
         65 0.575000000 0.250742714
         66 0.565000000 0.287409631
         67 0.555000000 0.324562605
         68 0.545000000 0.371982122
         69 0.535000000 0.419401638
         70 0.525000000 0.466821155
         71 0.515000000 0.511554859
         72 0.505000000 0.555504529
         73 0.495000000 0.599454200
         74 0.485000000 0.642955059
         75 0.475000000 0.682465029
         76 0.465000000 0.721975000
         77 0.455000000 0.760473700
         78 0.445000000 0.790017761
         79 0.435000000 0.819561821
         80 0.425000000 0.849105881
         81 0.415000000 0.878425654
         82 0.405000000 0.897524584
         83 0.395000000 0.916623513
         84 0.385000000 0.935722443
         85 0.375000000 0.954821373
         86 0.365000000 0.970004150
         87 0.355000000 0.984943479
         88 0.345000000 0.999882807
         89 0.335000000 1.014822136
         90 0.325000000 1.027446685
         91 0.315000000 1.039699011
         92 0.305000000 1.051951338
         93 0.295000000 1.064203664
         94 0.285000000 1.074972784
         95 0.275000000 1.085327147
         96 0.265000000 1.095681510
         97 0.255000000 1.106035874
         98 0.245000000 1.114701963
         99 0.235000000 1.122649572
        100 0.225000000 1.130597180
        101 0.215000000 1.138544788
        102 0.205000000 1.145131740
        103 0.195000000 1.150889943
        104 0.185000000 1.156648145
        105 0.175000000 1.162406348
        106 0.165000000 1.167019667
        107 0.155000000 1.170663483
        108 0.145000000 1.174307299
        109 0.135000000 1.177951115
        110 0.125000000 1.180962889
        111 0.115000000 1.183237086
        112 0.105000000 1.185511283
        113 0.095000000 1.187785480
        114 0.085000000 1.189652190
        115 0.075000000 1.190858192
        116 0.065000000 1.192064195
        117 0.055000000 1.193270198
        118 0.045000000 1.194369136
        119 0.035000000 1.195219999
        120 0.025000000 1.196070863
        121 0.015000000 1.196561871
        122 0.005000000 1.197013221
        123 0.000000000 1.197290495
